time,snr,frequency
1238175499.898437,22.212935765625,31.385570209007202
1238183163.679687,32.53550496707078,24.80173253004639
1238202874.6875,101.63720523376853,21.912613581073977
1238266861.4375,39.674205352483575,19.71402458361143
1238268263.125,29.130880143102594,18.66743619119502
1238270672.375,35.57727147971346,18.66743619119502
1238272187.8125,35.870946066988026,19.691910069658512
1238272645.9375,37.25974857860898,19.34431939919945
1238274061.1875,33.56452659083236,19.34431939919945
1238274434.875,19.261958574170425,18.33792896520748
1238275575.6875,49.136223458414,22.306352946568076
1238276633.21875,55.79513225257114,21.803475889751624
1238276847.3125,55.527416755082825,20.405940808704077
1238276911.8125,29.788240849984607,19.691910069658512
1238277123.6875,29.1241673078005,19.34431939919945
1238277127.6875,25.44579163944993,20.045746463820578
1238277134.3125,114.88136048587543,29.136971610658854
1238277197.375,65.24578186404354,25.41434501302136
1238277206.875,17.071448016718875,18.66743619119502
1238277312.375,19.031479835211844,18.33792896520748
1238291736.1875,83.65920872446132,20.045746463820578
1238291979.171875,160.9428708813636,24.117458926691857
1238292189.0625,115.06737647138873,23.53053154739409
1238292922.625,51.75169330929046,18.66743619119502
1238293242.8125,60.25687826635309,19.691910069658512
1238294773.125,16.699727294758613,18.33792896520748
1238295038.6875,36.660781956526925,19.063024838194217
1238295910.125,47.659156705955525,18.66743619119502
1238296014.0625,46.190059195978726,19.71402458361143
1238296034.5625,106.5394911447174,22.306352946568076
1238296090.8125,83.50363142835164,22.306352946568076
1238296467.0625,54.05823322507353,20.045746463820578
1238296902.96875,45.347680353262795,20.387255883156616
1238297754.4375,36.974387212111495,19.063024838194217
1238299733.875,18.597383840422246,18.33792896520748
1238300103.625,16.225095723752684,18.33792896520748
1238302409.625,27.366164452140044,18.66743619119502
1238310938.582031,24.012239278869053,38.02714573408558
1238328698.890625,183.31055347682133,22.04743230406651
1238338041.125,16.656146658276267,12.39349280604547
1238341583.851562,76.21056574877983,27.90011680310297
1238412069.195312,15.985481776512357,27.90011680310297
1238417985.0625,22.120680252599946,11.913053523668832
1238419539.472656,42.53864660356388,30.686521320760512
1238442045.78125,17.530540817955508,12.055191254502105
1238442342.304687,124.52722903432944,31.385570209007202
1238442347.359375,111.00242164980116,37.49533110018498
1238443142.960937,66.07813249444227,35.306447793615156
1238443465.78125,30.707609836880327,19.961708050956556
1238443657.578125,37.807036328119395,22.04743230406651
1238444693.59375,23.68932056173753,21.260606472149632
1238446830.765625,33.29637327849205,22.04743230406651
1238446945.84375,38.1132156362728,21.260606472149632
1238448441.953125,185.3511824738229,35.20458617567212
1238455805.445312,163.520917095158,51.38861816112257
1238457571.828125,60.98711005835865,22.04743230406651
1238490549.6875,30.19376252553171,19.063024838194217
1238490556.3125,35.28278819128953,20.045746463820578
1238490825.125,18.813676977143096,18.33792896520748
1238504460.4375,37.30414416486438,20.045746463820578
1238505082.0625,65.10727744619629,21.145862377765557
1238505479.3125,67.38837162784276,21.145862377765557
1238505608.125,31.65815867944334,19.002864206394037
1238505901.1875,50.175254189042384,20.045746463820578
1238506061.8125,124.68049034430969,27.621117322930544
1238506186.4375,86.45969099065444,22.306352946568076
1238506750.0625,49.8631079037092,20.405940808704077
1238507501.0625,43.21182348069078,21.912613581073977
1238507505.125,66.62803215223164,23.56236133527643
1238507508.6875,82.64702394445844,26.18412552826873
1238507519.4375,63.12303680761639,23.53053154739409
1238507526.0625,68.56321199597157,25.267908497283468
1238507529.1875,40.51891819448044,22.306352946568076
1238507546.1875,48.87806144501351,21.912613581073977
1238507683.4375,74.78539196682422,21.525824284392613
1238507776.09375,29.88764948203032,21.803475889751624
1238507779.6875,47.94561358999365,22.70716726400097
1238507782.9375,69.91521204321182,25.721937872751315
1238507793.8125,150.92007190233028,31.28830009909439
1238507807.8125,52.953624299462575,22.70716726400097
1238507915.6875,73.80483857094592,23.53053154739409
1238507926.0625,55.85175887755082,21.525824284392613
1238507953.4375,33.23854150432399,20.772607347891753
1238508176.375,26.98125151683474,18.66743619119502
1238508262.0625,39.8482981564479,19.691910069658512
1238508649.1875,54.59064628043499,20.772607347891753
1238508653.375,31.149888200823867,19.002864206394037
1238508657.0625,51.04833997745563,21.145862377765557
1238508660.5625,57.128000572023204,21.145862377765557
1238508664.3125,58.06010876473782,21.525824284392613
1238508671.3125,49.368054950160044,21.145862377765557
1238509020.6875,25.776520057207264,19.691910069658512
1238509024.6875,43.86935203049315,21.525824284392613
1238509038.3125,25.352860692893486,19.34431939919945
1238509207.4375,77.93743651439274,21.912613581073977
1238509211.0625,64.9547442597378,21.145862377765557
1238509214.4375,57.337041639937524,21.145862377765557
1238509221.6875,53.4264116731586,20.772607347891753
1238509251.5625,44.20619114118856,20.772607347891753
1238509258.46875,32.77055872860025,20.387255883156616
1238509312.5625,56.04978627895854,21.525824284392613
1238509316.1875,60.95027103194169,21.525824284392613
1238509320.0625,41.82379231790697,20.045746463820578
1238509484.4375,25.40334117866273,19.691910069658512
1238509488.0625,47.23189979927045,22.70716726400097
1238509491.3125,48.525265811682495,23.53053154739409
1238509498.6875,21.291089922788355,23.11518366047584
1238509502.1875,30.708704541956,23.95334266150107
1238509516.3125,146.7256460825561,34.202190021586354
1238509523.3125,70.44742380113092,27.621117322930544
1238509530.3125,16.517341864789994,22.306352946568076
1238509533.5625,20.72468208163718,23.11518366047584
1238509606.6875,88.11754483900921,22.70716726400097
1238509759.5625,76.24890148475583,22.70716726400097
1238509770.3125,82.11834308945336,22.70716726400097
1238510083.4375,88.86409355549046,24.821893396432394
1238510139.5625,35.935092946227776,23.95334266150107
1238510142.9375,51.53620009206254,24.821893396432394
1238510146.1875,43.730654702879335,24.821893396432394
1238510149.8125,20.534998731822604,22.70716726400097
1238510153.3125,16.795551462990733,21.912613581073977
1238510160.5625,36.14021915972035,24.383751106669287
1238510164.0625,52.77862933160251,24.821893396432394
1238510167.8125,66.88246052831508,26.65461805684701
1238510207.5625,34.784506153436425,21.912613581073977
1238510315.6875,70.12333335203607,20.405940808704077
1238510400.1875,88.12794729365692,23.11518366047584
1238510698.0625,88.16878074044571,23.11518366047584
1238510741.125,29.194887491323644,18.66743619119502
